ServiceName,MaximumCapacity,Booked,DayOfTheWeek,EventName,EventTime,EventID,EventSchedule,Facility,AttendeeName,AttendeeStatus,AttendeePhone,AttendeeEmail,Age,GroupName,MainFacility,Day,Starts,Ends,ID,Duration,Max,Min,RegTotal,PercentFilled
Swimming Private Lesson,6,1,Mo,Swimming Private Lesson Demo,4:15 PM - 4:45 PM,496565,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Walker, Maya",Waiting,555-0112-1202,student.2.2@example.test,5,Swimming Private Lesson,Paul Palleschi Full Pool,Mo,2026-03-30 4:15 PM,2026-03-30 4:45 PM,496565,30,6,1,1,17%
Swimming Private Lesson,6,1,Mo,Swimming Private Lesson Demo,4:15 PM - 4:45 PM,496565,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Walker, Noah",Booked,555-0112-1203,student.2.3@example.test,6,Swimming Private Lesson,Paul Palleschi Full Pool,Mo,2026-03-30 4:15 PM,2026-03-30 4:45 PM,496565,30,6,1,1,17%
Swimming Private Lesson,6,1,Mo,Swimming Private Lesson Demo,4:15 PM - 4:45 PM,496565,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Young, Avery",Waiting,555-0112-1204,student.2.4@example.test,7,Swimming Private Lesson,Paul Palleschi Full Pool,Mo,2026-03-30 4:15 PM,2026-03-30 4:45 PM,496565,30,6,1,1,17%
Swimming Private Lesson,6,1,Mo,Swimming Private Lesson Demo,4:15 PM - 4:45 PM,496565,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Young, Blake",Waiting,555-0112-1205,student.2.5@example.test,8,Swimming Private Lesson,Paul Palleschi Full Pool,Mo,2026-03-30 4:15 PM,2026-03-30 4:45 PM,496565,30,6,1,1,17%
Little Splash 1,7,4,Mo,Little Splash 1 Demo,4:30 PM - 5:00 PM,457288,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Young, Avery",Waiting,555-0113-1300,student.3.0@example.test,3,Little Splash 1,Paul Palleschi Full Pool,Mo,2026-03-30 4:30 PM,2026-03-30 5:00 PM,457288,30,7,1,4,57%
Little Splash 1,7,4,Mo,Little Splash 1 Demo,4:30 PM - 5:00 PM,457288,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Young, Blake",Booked,555-0113-1301,student.3.1@example.test,4,Little Splash 1,Paul Palleschi Full Pool,Mo,2026-03-30 4:30 PM,2026-03-30 5:00 PM,457288,30,7,1,4,57%
Little Splash 1,7,4,Mo,Little Splash 1 Demo,4:30 PM - 5:00 PM,457288,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Hall, Casey",Booked,555-0113-1302,student.3.2@example.test,5,Little Splash 1,Paul Palleschi Full Pool,Mo,2026-03-30 4:30 PM,2026-03-30 5:00 PM,457288,30,7,1,4,57%
Little Splash 1,7,4,Mo,Little Splash 1 Demo,4:30 PM - 5:00 PM,457288,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Hall, Drew",Waiting,555-0113-1303,student.3.3@example.test,6,Little Splash 1,Paul Palleschi Full Pool,Mo,2026-03-30 4:30 PM,2026-03-30 5:00 PM,457288,30,7,1,4,57%
Little Splash 1,7,4,Mo,Little Splash 1 Demo,4:30 PM - 5:00 PM,457288,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Allen, Emery",Booked,555-0113-1304,student.3.4@example.test,7,Little Splash 1,Paul Palleschi Full Pool,Mo,2026-03-30 4:30 PM,2026-03-30 5:00 PM,457288,30,7,1,4,57%
Little Splash 1,7,4,Mo,Little Splash 1 Demo,4:30 PM - 5:00 PM,457288,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Allen, Finley",Waiting,555-0113-1305,student.3.5@example.test,8,Little Splash 1,Paul Palleschi Full Pool,Mo,2026-03-30 4:30 PM,2026-03-30 5:00 PM,457288,30,7,1,4,57%
Little Splash 1,7,4,Mo,Little Splash 1 Demo,4:30 PM - 5:00 PM,457288,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Wright, Harper",Booked,555-0113-1306,student.3.6@example.test,9,Little Splash 1,Paul Palleschi Full Pool,Mo,2026-03-30 4:30 PM,2026-03-30 5:00 PM,457288,30,7,1,4,57%
Splash  2A,7,6,Mo,Splash  2A Demo,4:30 PM - 5:00 PM,459322,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Allen, Emery",Booked,555-0114-1400,student.4.0@example.test,3,Splash  2A,Paul Palleschi Full Pool,Mo,2026-03-30 4:30 PM,2026-03-30 5:00 PM,459322,30,7,1,6,86%
Splash  2A,7,6,Mo,Splash  2A Demo,4:30 PM - 5:00 PM,459322,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Allen, Finley",Booked,555-0114-1401,student.4.1@example.test,4,Splash  2A,Paul Palleschi Full Pool,Mo,2026-03-30 4:30 PM,2026-03-30 5:00 PM,459322,30,7,1,6,86%
Splash  2A,7,6,Mo,Splash  2A Demo,4:30 PM - 5:00 PM,459322,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Wright, Harper",Booked,555-0114-1402,student.4.2@example.test,5,Splash  2A,Paul Palleschi Full Pool,Mo,2026-03-30 4:30 PM,2026-03-30 5:00 PM,459322,30,7,1,6,86%
Splash  2A,7,6,Mo,Splash  2A Demo,4:30 PM - 5:00 PM,459322,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Wright, Jordan",Booked,555-0114-1403,student.4.3@example.test,6,Splash  2A,Paul Palleschi Full Pool,Mo,2026-03-30 4:30 PM,2026-03-30 5:00 PM,459322,30,7,1,6,86%
Splash  2A,7,6,Mo,Splash  2A Demo,4:30 PM - 5:00 PM,459322,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"King, Kai",Waiting,555-0114-1404,student.4.4@example.test,7,Splash  2A,Paul Palleschi Full Pool,Mo,2026-03-30 4:30 PM,2026-03-30 5:00 PM,459322,30,7,1,6,86%
Splash  2A,7,6,Mo,Splash  2A Demo,4:30 PM - 5:00 PM,459322,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"King, Logan",Booked,555-0114-1405,student.4.5@example.test,8,Splash  2A,Paul Palleschi Full Pool,Mo,2026-03-30 4:30 PM,2026-03-30 5:00 PM,459322,30,7,1,6,86%
Splash  2A,7,6,Mo,Splash  2A Demo,4:30 PM - 5:00 PM,459322,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Scott, Maya",Booked,555-0114-1406,student.4.6@example.test,9,Splash  2A,Paul Palleschi Full Pool,Mo,2026-03-30 4:30 PM,2026-03-30 5:00 PM,459322,30,7,1,6,86%
Little Splash 3,5,5,Mo,Little Splash 3 Demo,4:30 PM - 5:00 PM,463801,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"King, Kai",Booked,555-0115-1500,student.5.0@example.test,3,Little Splash 3,Paul Palleschi Full Pool,Mo,2026-03-30 4:30 PM,2026-03-30 5:00 PM,463801,30,5,1,5,100%
Little Splash 3,5,5,Mo,Little Splash 3 Demo,4:30 PM - 5:00 PM,463801,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"King, Logan",Booked,555-0115-1501,student.5.1@example.test,4,Little Splash 3,Paul Palleschi Full Pool,Mo,2026-03-30 4:30 PM,2026-03-30 5:00 PM,463801,30,5,1,5,100%
Little Splash 3,5,5,Mo,Little Splash 3 Demo,4:30 PM - 5:00 PM,463801,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Scott, Maya",Booked,555-0115-1502,student.5.2@example.test,5,Little Splash 3,Paul Palleschi Full Pool,Mo,2026-03-30 4:30 PM,2026-03-30 5:00 PM,463801,30,5,1,5,100%
Little Splash 3,5,5,Mo,Little Splash 3 Demo,4:30 PM - 5:00 PM,463801,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Scott, Noah",Booked,555-0115-1503,student.5.3@example.test,6,Little Splash 3,Paul Palleschi Full Pool,Mo,2026-03-30 4:30 PM,2026-03-30 5:00 PM,463801,30,5,1,5,100%
Little Splash 3,5,5,Mo,Little Splash 3 Demo,4:30 PM - 5:00 PM,463801,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Stone, Avery",Booked,555-0115-1504,student.5.4@example.test,7,Little Splash 3,Paul Palleschi Full Pool,Mo,2026-03-30 4:30 PM,2026-03-30 5:00 PM,463801,30,5,1,5,100%
Splash  4,8,8,Mo,Splash  4 Demo,4:45 PM - 5:15 PM,471682,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Stone, Avery",Booked,555-0116-1600,student.6.0@example.test,3,Splash  4,Paul Palleschi Full Pool,Mo,2026-03-30 4:45 PM,2026-03-30 5:15 PM,471682,30,8,1,8,100%
Splash  4,8,8,Mo,Splash  4 Demo,4:45 PM - 5:15 PM,471682,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Stone, Blake",Booked,555-0116-1601,student.6.1@example.test,4,Splash  4,Paul Palleschi Full Pool,Mo,2026-03-30 4:45 PM,2026-03-30 5:15 PM,471682,30,8,1,8,100%
Splash  4,8,8,Mo,Splash  4 Demo,4:45 PM - 5:15 PM,471682,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Lee, Casey",Booked,555-0116-1602,student.6.2@example.test,5,Splash  4,Paul Palleschi Full Pool,Mo,2026-03-30 4:45 PM,2026-03-30 5:15 PM,471682,30,8,1,8,100%
Splash  4,8,8,Mo,Splash  4 Demo,4:45 PM - 5:15 PM,471682,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Lee, Drew",Booked,555-0116-1603,student.6.3@example.test,6,Splash  4,Paul Palleschi Full Pool,Mo,2026-03-30 4:45 PM,2026-03-30 5:15 PM,471682,30,8,1,8,100%
Splash  4,8,8,Mo,Splash  4 Demo,4:45 PM - 5:15 PM,471682,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Martin, Emery",Booked,555-0116-1604,student.6.4@example.test,7,Splash  4,Paul Palleschi Full Pool,Mo,2026-03-30 4:45 PM,2026-03-30 5:15 PM,471682,30,8,1,8,100%
Splash  4,8,8,Mo,Splash  4 Demo,4:45 PM - 5:15 PM,471682,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Martin, Finley",Booked,555-0116-1605,student.6.5@example.test,8,Splash  4,Paul Palleschi Full Pool,Mo,2026-03-30 4:45 PM,2026-03-30 5:15 PM,471682,30,8,1,8,100%
Splash  4,8,8,Mo,Splash  4 Demo,4:45 PM - 5:15 PM,471682,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Singh, Harper",Booked,555-0116-1606,student.6.6@example.test,9,Splash  4,Paul Palleschi Full Pool,Mo,2026-03-30 4:45 PM,2026-03-30 5:15 PM,471682,30,8,1,8,100%
Splash  4,8,8,Mo,Splash  4 Demo,4:45 PM - 5:15 PM,471682,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Singh, Jordan",Booked,555-0116-1607,student.6.7@example.test,10,Splash  4,Paul Palleschi Full Pool,Mo,2026-03-30 4:45 PM,2026-03-30 5:15 PM,471682,30,8,1,8,100%
Swimming Private Lesson,5,1,Mo,Swimming Private Lesson Demo,4:45 PM - 5:15 PM,496573,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Martin, Emery",Waiting,555-0117-1700,student.7.0@example.test,3,Swimming Private Lesson,Paul Palleschi Full Pool,Mo,2026-03-30 4:45 PM,2026-03-30 5:15 PM,496573,30,5,1,1,20%
Swimming Private Lesson,5,1,Mo,Swimming Private Lesson Demo,4:45 PM - 5:15 PM,496573,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Martin, Finley",Waiting,555-0117-1701,student.7.1@example.test,4,Swimming Private Lesson,Paul Palleschi Full Pool,Mo,2026-03-30 4:45 PM,2026-03-30 5:15 PM,496573,30,5,1,1,20%
Swimming Private Lesson,5,1,Mo,Swimming Private Lesson Demo,4:45 PM - 5:15 PM,496573,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Singh, Harper",Booked,555-0117-1702,student.7.2@example.test,5,Swimming Private Lesson,Paul Palleschi Full Pool,Mo,2026-03-30 4:45 PM,2026-03-30 5:15 PM,496573,30,5,1,1,20%
Swimming Private Lesson,5,1,Mo,Swimming Private Lesson Demo,4:45 PM - 5:15 PM,496573,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Singh, Jordan",Waiting,555-0117-1703,student.7.3@example.test,6,Swimming Private Lesson,Paul Palleschi Full Pool,Mo,2026-03-30 4:45 PM,2026-03-30 5:15 PM,496573,30,5,1,1,20%
Swimming Private Lesson,5,1,Mo,Swimming Private Lesson Demo,4:45 PM - 5:15 PM,496573,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Cooper, Kai",Waiting,555-0117-1704,student.7.4@example.test,7,Swimming Private Lesson,Paul Palleschi Full Pool,Mo,2026-03-30 4:45 PM,2026-03-30 5:15 PM,496573,30,5,1,1,20%
Little Splash 3,6,5,Mo,Little Splash 3 Demo,5:00 PM - 5:30 PM,463804,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Cooper, Kai",Booked,555-0118-1800,student.8.0@example.test,3,Little Splash 3,Paul Palleschi Full Pool,Mo,2026-03-30 5:00 PM,2026-03-30 5:30 PM,463804,30,6,1,5,83%
Little Splash 3,6,5,Mo,Little Splash 3 Demo,5:00 PM - 5:30 PM,463804,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Cooper, Logan",Booked,555-0118-1801,student.8.1@example.test,4,Little Splash 3,Paul Palleschi Full Pool,Mo,2026-03-30 5:00 PM,2026-03-30 5:30 PM,463804,30,6,1,5,83%
Little Splash 3,6,5,Mo,Little Splash 3 Demo,5:00 PM - 5:30 PM,463804,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Walker, Maya",Booked,555-0118-1802,student.8.2@example.test,5,Little Splash 3,Paul Palleschi Full Pool,Mo,2026-03-30 5:00 PM,2026-03-30 5:30 PM,463804,30,6,1,5,83%
Little Splash 3,6,5,Mo,Little Splash 3 Demo,5:00 PM - 5:30 PM,463804,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Walker, Noah",Waiting,555-0118-1803,student.8.3@example.test,6,Little Splash 3,Paul Palleschi Full Pool,Mo,2026-03-30 5:00 PM,2026-03-30 5:30 PM,463804,30,6,1,5,83%
Little Splash 3,6,5,Mo,Little Splash 3 Demo,5:00 PM - 5:30 PM,463804,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Young, Avery",Booked,555-0118-1804,student.8.4@example.test,7,Little Splash 3,Paul Palleschi Full Pool,Mo,2026-03-30 5:00 PM,2026-03-30 5:30 PM,463804,30,6,1,5,83%
Little Splash 3,6,5,Mo,Little Splash 3 Demo,5:00 PM - 5:30 PM,463804,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Young, Blake",Booked,555-0118-1805,student.8.5@example.test,8,Little Splash 3,Paul Palleschi Full Pool,Mo,2026-03-30 5:00 PM,2026-03-30 5:30 PM,463804,30,6,1,5,83%
Splash  2B,10,6,Mo,Splash  2B Demo,5:00 PM - 5:30 PM,471253,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Young, Avery",Booked,555-0119-1900,student.9.0@example.test,3,Splash  2B,Paul Palleschi Full Pool,Mo,2026-03-30 5:00 PM,2026-03-30 5:30 PM,471253,30,10,1,6,60%
Splash  2B,10,6,Mo,Splash  2B Demo,5:00 PM - 5:30 PM,471253,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Young, Blake",Booked,555-0119-1901,student.9.1@example.test,4,Splash  2B,Paul Palleschi Full Pool,Mo,2026-03-30 5:00 PM,2026-03-30 5:30 PM,471253,30,10,1,6,60%
Splash  2B,10,6,Mo,Splash  2B Demo,5:00 PM - 5:30 PM,471253,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Hall, Casey",Booked,555-0119-1902,student.9.2@example.test,5,Splash  2B,Paul Palleschi Full Pool,Mo,2026-03-30 5:00 PM,2026-03-30 5:30 PM,471253,30,10,1,6,60%
Splash  2B,10,6,Mo,Splash  2B Demo,5:00 PM - 5:30 PM,471253,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Hall, Drew",Booked,555-0119-1903,student.9.3@example.test,6,Splash  2B,Paul Palleschi Full Pool,Mo,2026-03-30 5:00 PM,2026-03-30 5:30 PM,471253,30,10,1,6,60%
Splash  2B,10,6,Mo,Splash  2B Demo,5:00 PM - 5:30 PM,471253,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Allen, Emery",Waiting,555-0119-1904,student.9.4@example.test,7,Splash  2B,Paul Palleschi Full Pool,Mo,2026-03-30 5:00 PM,2026-03-30 5:30 PM,471253,30,10,1,6,60%
Splash  2B,10,6,Mo,Splash  2B Demo,5:00 PM - 5:30 PM,471253,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Allen, Finley",Booked,555-0119-1905,student.9.5@example.test,8,Splash  2B,Paul Palleschi Full Pool,Mo,2026-03-30 5:00 PM,2026-03-30 5:30 PM,471253,30,10,1,6,60%
Splash  2B,10,6,Mo,Splash  2B Demo,5:00 PM - 5:30 PM,471253,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Wright, Harper",Booked,555-0119-1906,student.9.6@example.test,9,Splash  2B,Paul Palleschi Full Pool,Mo,2026-03-30 5:00 PM,2026-03-30 5:30 PM,471253,30,10,1,6,60%
Splash  2B,10,6,Mo,Splash  2B Demo,5:00 PM - 5:30 PM,471253,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Wright, Jordan",Waiting,555-0119-1907,student.9.7@example.test,10,Splash  2B,Paul Palleschi Full Pool,Mo,2026-03-30 5:00 PM,2026-03-30 5:30 PM,471253,30,10,1,6,60%
Splash  2B,10,6,Mo,Splash  2B Demo,5:00 PM - 5:30 PM,471253,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"King, Kai",Waiting,555-0119-1908,student.9.8@example.test,11,Splash  2B,Paul Palleschi Full Pool,Mo,2026-03-30 5:00 PM,2026-03-30 5:30 PM,471253,30,10,1,6,60%
Splash  2B,10,6,Mo,Splash  2B Demo,5:00 PM - 5:30 PM,471253,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"King, Logan",Waiting,555-0119-1909,student.9.9@example.test,12,Splash  2B,Paul Palleschi Full Pool,Mo,2026-03-30 5:00 PM,2026-03-30 5:30 PM,471253,30,10,1,6,60%
Splash  3,7,7,Mo,Splash  3 Demo,5:00 PM - 5:30 PM,471654,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Allen, Emery",Booked,555-0120-2000,student.10.0@example.test,3,Splash  3,Paul Palleschi Full Pool,Mo,2026-03-30 5:00 PM,2026-03-30 5:30 PM,471654,30,7,1,7,100%
Splash  3,7,7,Mo,Splash  3 Demo,5:00 PM - 5:30 PM,471654,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Allen, Finley",Booked,555-0120-2001,student.10.1@example.test,4,Splash  3,Paul Palleschi Full Pool,Mo,2026-03-30 5:00 PM,2026-03-30 5:30 PM,471654,30,7,1,7,100%
Splash  3,7,7,Mo,Splash  3 Demo,5:00 PM - 5:30 PM,471654,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Wright, Harper",Booked,555-0120-2002,student.10.2@example.test,5,Splash  3,Paul Palleschi Full Pool,Mo,2026-03-30 5:00 PM,2026-03-30 5:30 PM,471654,30,7,1,7,100%
Splash  3,7,7,Mo,Splash  3 Demo,5:00 PM - 5:30 PM,471654,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Wright, Jordan",Booked,555-0120-2003,student.10.3@example.test,6,Splash  3,Paul Palleschi Full Pool,Mo,2026-03-30 5:00 PM,2026-03-30 5:30 PM,471654,30,7,1,7,100%
Splash  3,7,7,Mo,Splash  3 Demo,5:00 PM - 5:30 PM,471654,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"King, Kai",Booked,555-0120-2004,student.10.4@example.test,7,Splash  3,Paul Palleschi Full Pool,Mo,2026-03-30 5:00 PM,2026-03-30 5:30 PM,471654,30,7,1,7,100%
Splash  3,7,7,Mo,Splash  3 Demo,5:00 PM - 5:30 PM,471654,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"King, Logan",Booked,555-0120-2005,student.10.5@example.test,8,Splash  3,Paul Palleschi Full Pool,Mo,2026-03-30 5:00 PM,2026-03-30 5:30 PM,471654,30,7,1,7,100%
Splash  3,7,7,Mo,Splash  3 Demo,5:00 PM - 5:30 PM,471654,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Scott, Maya",Booked,555-0120-2006,student.10.6@example.test,9,Splash  3,Paul Palleschi Full Pool,Mo,2026-03-30 5:00 PM,2026-03-30 5:30 PM,471654,30,7,1,7,100%
Splash  1,6,6,Mo,Splash  1 Demo,5:15 PM - 5:45 PM,457463,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"King, Kai",Booked,555-0121-2100,student.11.0@example.test,3,Splash  1,Paul Palleschi Full Pool,Mo,2026-03-30 5:15 PM,2026-03-30 5:45 PM,457463,30,6,1,6,100%
Splash  1,6,6,Mo,Splash  1 Demo,5:15 PM - 5:45 PM,457463,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"King, Logan",Booked,555-0121-2101,student.11.1@example.test,4,Splash  1,Paul Palleschi Full Pool,Mo,2026-03-30 5:15 PM,2026-03-30 5:45 PM,457463,30,6,1,6,100%
Splash  1,6,6,Mo,Splash  1 Demo,5:15 PM - 5:45 PM,457463,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Scott, Maya",Booked,555-0121-2102,student.11.2@example.test,5,Splash  1,Paul Palleschi Full Pool,Mo,2026-03-30 5:15 PM,2026-03-30 5:45 PM,457463,30,6,1,6,100%
Splash  1,6,6,Mo,Splash  1 Demo,5:15 PM - 5:45 PM,457463,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Scott, Noah",Booked,555-0121-2103,student.11.3@example.test,6,Splash  1,Paul Palleschi Full Pool,Mo,2026-03-30 5:15 PM,2026-03-30 5:45 PM,457463,30,6,1,6,100%
